title,authors,editors,date,rating,re-read,pages,non-fiction,comic,published
The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,,2010-09-01,,,512,TRUE,,
Other Lives,Peter Bagge,,2010-09-01,,,136,,TRUE,
Pretty Monsters,Kelly Link,,2010-09-01,+,,416,,,
All-Star Superman,Grant Morrison,,2010-09-01,+,,304,,TRUE,
"I, Claudius",Robert Graves,,2010-10-01,+,,416,,,
Whoops! : Why Everyone Owes Everyone and No One Can Pay,John Lanchester,,2010-11-01,+,,256,TRUE,,
Cartographies of Time: A History of the Timeline,Anthony Grafton,,2010-11-01,,,272,TRUE,,
Last and First Men,Olaf Stapledon,,2010-12-01,,,336,,,
Star Maker,Olaf Stapledon,,2010-12-01,++,,288,,,
Red Plenty,F Spufford,,2010-12-01,+,,448,,,
Acme Novelty Library #20,Chris Ware,,2010-12-01,+,,72,,TRUE,
The Embedding,Ian Watson,,2011-01-01,,,256,,,
The Eye of the Queen,Phillip Mann,,2011-01-01,,,224,,,
One Moonlit Night,Caradog Prichard,,2011-01-01,+,,192,,,
Strange Tales,"Peter Bagge,Nick Bertozzi,John Leavitt,Nicholas Gurewitch,Becky Cloonan,James Kolchalka,Paul Pope,Stan Sakai,Michael Kupperman,Junko Mizuno",,2011-02-01,,,192,,TRUE,
Accelerando,Charles Stross,,2011-02-01,,,448,,,
Black Hole,Charles Burns,,2011-02-01,+,,368,,TRUE,
The Lovecraft Anthology. Vol. 1,Dan Lockwood,Dan Lockwood,2011-03-01,,,120,,TRUE,
Logicomix: An Epic Search for Truth,Apostolos Doxiadis,,2011-03-01,,,352,,TRUE,
Forever Peace,Joe Haldeman,,2011-03-01,,,351,,,
Mind of My Mind,Octavia E. Butler,,2011-03-01,,,224,,,
Cloud Atlas,David Mitchell,,2011-03-01,,,529,,,
Clay's Ark,Octavia E. Butler,,2011-04-01,,,224,,,
Patternmaster,Octavia E. Butler,,2011-04-01,,,208,,,
Atlas of Remote Islands: Fifty Islands I Have Never Set Foot on and Never Will,Judith Schalansky,,2011-04-01,,,144,TRUE,,
The Yiddish Policemen's Union,Michael Chabon,,2011-05-01,+,,464,,,
Blindness,José Saramago,,2011-05-01,++,,320,,,
"Buddha, Volume 1: Kapilavastu",Osamu Tezuka,,2011-05-01,,,400,,TRUE,
Cocaine Nights,J. G. Ballard,,2011-05-01,,,352,,,
The Bulletproof Coffin,"David Hine,Shaky Kane",,2011-05-01,,,200,,TRUE,
Un Lun Dun,China Mieville,,2011-05-01,+,,528,,,
The Last Werewolf,Glen Duncan,,2011-05-01,,,352,,,
Embassytown,China Mieville,,2011-06-01,+,,416,,,
"Buddha, Volume 2: The Four Encounters",Osamu Tezuka,,2011-06-01,,,411,,TRUE,
Retromania: Pop Culture's Addiction to its Own Past,Simon Reynolds,,2011-06-01,+,,496,TRUE,,
Do Androids Dream of Electric Sheep?,Philip K. Dick,,2011-07-01,+,,224,,,
Oishinbo à la Carte - Japanese Cuisine,Tetsu Kariya,,2011-07-01,,,272,,TRUE,
Lightborn,Tricia Sullivan,,2011-07-01,+,,464,,,
The Wild Girls,Ursula K. Le Guin,,2011-07-01,+,,128,,,
Shadow & Claw,Gene Wolfe,,2011-08-01,+,,413,,,
Tom Strong: Book 5,Brian K. Vaughan,,2011-08-01,,,130,,TRUE,
All-Star Superman,Grant Morrison,,2011-08-01,+,yes,304,,TRUE,
Sword & Citadel,Gene Wolfe,,2011-08-01,+,,411,,,
Tom Strong and the Robots of Doom,"Peter Hogan, Chris Sprouse",,2011-09-01,,,144,,TRUE,
"Buddha, Volume 3: Devadatta",Osamu Tezuka,,2011-09-01,+,,336,,TRUE,
Westwood,Stella Gibbons,,2011-09-01,+,,464,,,
Elliot Allagash,Simon Rich,,2011-09-01,,,240,,,
Claudius the God,Robert Graves,,2011-10-01,+,,448,,,
A Visit from the Goon Squad,Jennifer Egan,,2011-10-01,,,368,,,
Tabletop: Analog Game Design,Greg Costikyan,,2011-09-01,,,208,TRUE,,
The Thousand Autumns of Jacob de Zoet,David Mitchell,,2011-10-01,+,,560,,,
"Fables, Vol. 2: Animal Farm",Bill Willingham,,2011-10-01,,,128,,TRUE,
"Fables, Vol. 3: Storybook Love",Bill Willingham,,2011-10-01,,,190,,TRUE,
"Fables, Vol. 4: March of the Wooden Soldiers",Bill Willingham,,2011-10-01,,,240,,TRUE,
"Fables, Vol. 5: The Mean Seasons",Bill Willingham,,2011-11-01,,,168,,TRUE,
"Fables, Vol. 6: Homelands",Bill Willingham,,2011-11-01,,,192,,TRUE,
Fables: 1001 Nights of Snowfall,Bill Willingham,,2011-11-01,,,144,,TRUE,
Snake and Bacon's Cartoon Cabaret,Michael Kupperman,,2011-11-01,,,132,,TRUE,
Ready Player One,Ernest Cline,,2011-12-01,,,384,,,
Zoo City,Lauren Beukes,,2011-12-01,+,,384,,,
Howl's Moving Castle,Diana Wynne Jones,,2012-01-01,+,,304,,,
How to Be a Woman,Caitlin Moran,,2012-01-01,+,,320,TRUE,,
Supergods,Grant Morrison,,2012-02-01,,,464,TRUE,,
Persepolis,Marjane Satrapi,,2012-02-01,+,,352,TRUE,TRUE,
Now Wait for Last Year,Philip K. Dick,,2012-02-01,,,224,,,
Rip It Up and Start Again,Simon Reynolds,,2012-02-01,,,608,,,
Think Stats,Allen B. Downey,,2012-03-01,,,226,TRUE,,
The Hunger Games,Suzanne Collins,,2012-03-01,,,464,,,
Catching Fire,Suzanne Collins,,2012-03-01,,,480,,,
The Lovecraft Anthology: Volume 2,,Dan Lockwood,2012-03-01,,,128,,TRUE,
Mockingjay,Suzanne Collins,,2012-03-01,,,448,,,
Skippy Dies,Paul Murray,,2012-04-01,-,,,,,
Space Opera,,Brian W. Aldiss,2012-04-01,,,328,,,
Solaris Rising: The New Solaris Book of Science Fiction,,Ian Whates,2012-04-01,,,384,,,
The Stars My Destination,Alfred Bester,,2012-04-01,+,,256,,,
"Fables, Vol. 7: Arabian Nights",Bill Willingham,,2012-05-01,,,144,,TRUE,
"Fables, Vol. 9: Sons of Empire",Bill Willingham,,2012-05-01,,,144,,TRUE,
"Fables, Vol. 8: Wolves",Bill Willingham,,2012-05-01,,,160,,TRUE,
"Fables, Vol. 10: The Good Prince",Bill Willingham,,2012-05-01,,,240,,TRUE,
"Fables, Vol. 11: War and Pieces",Bill Willingham,,2012-05-01,,,192,,TRUE,
Wolf Hall,Hillary Mantel,,2012-06-01,++,,688,,,
Let's Talk About Love: A Journey to the End of Taste,Carl Wilson,,2012-06-01,,,176,TRUE,,
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,,2012-06-01,+,,368,TRUE,,
The Age of Movies: Selected Writings,Pauline Kael, ,2012-06-01,+,,828,TRUE,,
Red Mars,Kim Stanley Robinson,,2012-08-01,,,672,,,
Dice Games Properly Explained,Reiner Knizia,,2012-08-01,,,226,TRUE,,
Imperium,Robert Harris,,2012-08-01,,,496,,,
Store of the Worlds: The Stories of Robert Sheckley,Robert Sheckley,,2012-08-01,+,,416,,,
Double Nickels on the Dime,Michael T. Fournier,,2012-08-01,,,120,TRUE,,
The League of Extraordinary Gentlemen: Century 2009,Alan Moore,,2012-09-01,,,80,,TRUE,
London's Overthrow,China Mieville,,2012-10-01,,,96,TRUE,,
Litany of the Long Sun,Gene Wolfe,,2012-10-01,,,544,,,
Building Stories,Chris Ware,,2012-10-01,+,,246,,TRUE,
Insurrection: The War Against the Judges Has Begun,Dan Abnett,,2012-11-01,,,128,,TRUE,
The A. B. C. Warriors: The Black Hole,"Pat Mills,Simon Bisley",,2012-11-01,,,160,,TRUE,
The Compass Rose,Ursula K. Le Guin,,2013-01-01,,,368,,,
The Iliad,"Homer, Robert Fagles",,2013-01-01,,,528,,,
Lustrum,Robert Harris,,2013-01-01,,,454,,,
Ubik,Philip K. Dick,,2013-09-07,+,yes,224,,,
Underground Maps Unraveled,Maxwell J Roberts,,2013-02-01,+,,224,TRUE,,
On Fairy-Stories,J. R. R. Tolkien,,2013-02-01,,,320,TRUE,,
"Picturing the Uncertain World: How to Understand, Communicate, and Control Uncertainty Through Graphical Display",Howard Wainer,,2013-03-01,,,264,TRUE,,
Bring Up the Bodies,Hillary Mantel,,2013-04-01,+,,432,,,
The Third Policeman,Flann O'Brien,,2013-05-01,,,240,,,
The Secret History of Science Fiction,James Patrick Kelly,James Patrick Kelly,2013-03-01,,,380,,,
The League of Extraordinary Gentlemen: Century 1910,Alan Moore,,2009-05-01,,,80,,TRUE,
The League of Extraordinary Gentlemen: Century 1969,Alan Moore,,2011-07-01,,,80,,TRUE,
Xed,Charles Burns,,2011-09-01,,,56,,TRUE,
The Hive,Charles Burns,,2012-12-01,,,80,,TRUE,
Pure,Andrew Miller,,2012-12-01,+,,352,,,
Superman: Whatever Happened to the Man of Tomorrow?,Alan Moore,,2012-11-01,,,128,,TRUE,
Microscope,Ben Robbins,,2012-08-01,,,,TRUE,,
The Complete Chronicles of Conan: Centenary Edition,Robert E. Howard,,,,,928,,,
"MP3: The Meaning of a Format (Sign, Storage, Transmission) ",Jonathan Sterne,,2013-06-14,,,360,TRUE,,
Epiphany of The Long Sun,Gene Wolfe,,,,,720,,,
The Oddessey,"Homer, Robert Fagles",,2014-02-03,,,560,,,
Telegraph Avenue,Michael Chabon,,2013-08-11,,,640,,,
Fables Vol 12: The Dark Ages,"Peter Gross,Mark Buckingham,David Hahn,Mike Allred,Bill Willingham",,2013-06-03,,,192,,TRUE,
Fables Vol 13: The Great Fables Crossover,"Bill Willingham,Matthew Sturges,Mark Buckingham",,2013-06-05,,,224,,TRUE,
Cinderella: From Fabletown with Love,"Chris Roberson,Shawn McManus",,2013-06-06,,,144,,TRUE,
Fables Vol. 14: Witches,"Bill Willingham,Mark Buckingham",,2013-06-08,,,192,,TRUE,
Fables Vol. 15: Rose Red,"Bill Willingham,Mark Buckingham",,2013-06-14,,,256,,TRUE,
"Secret Avengers, Vol. 3: Run the Mission, Don't Get Seen, Save the World","Warren Ellis,Jamie McKelvie,Kevin Walker,David Aja,Michael Lark,Alex Maleev,Stuart Immonen",,2013-06-16,,,144,,TRUE,
Cinderella: Fables Are Forever,"Chris Roberson,Shawn McManus",,2013-06-17,,,160,,TRUE,
Fables Vol. 16: Super Team,"Bill Willingham,Mark Buckingham",,2013-06-15,,,144,,TRUE,
Fables Vol. 17: Inherit the Wind,"Bill Willingham,Mark Buckingham",,2013-06-22,,,144,,TRUE,
Fables vol. 18: Cubs In Toyland,"Bill Willingham,Mark Buckingham",,2013-06-23,,,192,,TRUE,
Grimm Tales: For Young and Old,Phillip Pullman,,,,,448,,,
On The Map,Simon Garfield,,2013-07-07,,,464,,,
Gone Girl,Gillian Flynn,,2013-07-12,,,512,,,
The Grammar of Graphics (Statistics and Computing),Leland Wilkinson,,,,,712,TRUE,,
Understanding Comics,Scott McCloud,,2013-09-15,,yes,224,TRUE,TRUE,
Journey Into Mystery: Fear Itself,"Kieron Gillen,Doug Braithwaite",,2013-09-18,,,136,,,
Railsea,China Mieville,,2013-09-28,+,,384,,,
Thinking Fast and Slow,Daniel Kahneman,,2013-10-24,+,,512,,,
A Hologram For The King,Dave Eggers,,2013-10-29,,,336,,,
Lighter Than My Shadow,Katie Green,,2013-10-30,,,516,TRUE,,
NW,Zadie Smith,,2013-11-06,+,,352,,,
Cheek by Jowl,Ursula K. Le Guin,,2013-12-01,+,,149,TRUE,,
Light,M John Harrison,,2013-12-07,,,352,,,
The Complete Don Quixote,"Rob Davis,Miguel de Cervantes",,2013-12-15,,,296,,,
Conversations with Ursula K. Le Guin (Literary Conversations),Ursula K. Le Guin,,2013-12-30,,,224,TRUE,,
The New Atlantis and Other Novellas of Science Fiction,"Ursula K. Le Guin,Gene Wolfe,James Tiptree Jr",Robert Silverberg,2014-01-13,,,182,,,
Hangover Square,Patrick Hamilton,,2013-12-25,+,,288,,,
The Song Of Achilles,Madeline Miller,,2014-01-04,,,368,,,
The Penelopiad,Margaret Atwood,,,,,224,,,
How I Live Now,Meg Rosoff,,2014-01-06,+,,224,,,
Orlando,Virginia Woolf,,2014-01-29,,,288,,,
"Oishinbo: à la Carte, Vol. 3: Ramen and Gyoza"," Tetsu Kariya,Akira Hanasaki",,2014-02-01,,,272,,TRUE,
Middlemarch,George Eliot,,2014-03-26,++,,736,,,
The Eagle of the Ninth,Rosemary Sutcliffe,,2014-04-09,,,256,,,
The Language of the Night. Essays on fantasy and science fiction,Ursula K. Le Guin,Susan Wood,2014-05-01,,,262,TRUE,,
The Gathering Night,Margaret Elphinstone,,2014-05-27,,,384,,,
"Collected Stories and Other Writings (Library of America, No. 188)",John Cheever,,,,,1040,,,
Oblivion,David Foster Wallace,,,,,336,,,
The Bees,Laline Paull,,2014-06-22,,,352,,,
Special Topics in Calamity Physics,Marisha Pessl,,2014-08-05,,,528,,,
A Sting In The Tale,Dave Goulson,,2014-08-07,,,288,TRUE,,
Making Comics,Scott McCloud,,2014-08-08,,,272,TRUE,TRUE,
Memorial,Alice Oswald,,2014-08-09,+,,96,,,
84 Charing Cross Road,Helene Hanff,,2014-08-13,,,240,TRUE,,
Three,"Kieron Gillen,Ryan Kelly,Jordie Bellaire",,2014-08-14,,,146,,TRUE,
Nemo Heart of Ice,"Alan Moore, Kevin O'Neil",,2014-08-15,,,56,,TRUE,
Nemo Roses of Berlin,"Alan Moore, Kevin O'Neil",,2014-08-16,,,56,,TRUE,
The Diary of Adrian Mole aged 13 3/4,Sue Townsend,,2014-08-24,+,,272,,,
Ammonite,Nicola Griffith,,2014-09-18,,,416,,,
Augustus,John Williams,,2014-11-10,,,352,,,
Stranger Things Happen,Kelly Link,,2014-12-12,,,266,,,
Cranford,Elisabeth Gaskell,,2015-01-06,+,,192,,,
Stories of Your Life and Others,Ted Chiang,,2015-01-18,,,352,,,
The Lifecycle of Software Objects,Ted Chiang,,2015-01-18,,,150,,,
The Thing Around Your Neck,Chimamanda Ngozi Adichie,,2015-01-23,+,,300,,,
In Other Worlds: SF and the Human Imagination,Margaret Atwood,,2015-02-04,,,272,TRUE,,
Flame Alphabet,Ben Marcus,,2015-02-14,,,304,,,
Saga,"Fiona Staples, Brian K. Vaughan",,2015-02-20,,,504,,TRUE,
Sugar Skull,Charles Burns,,2015-02-21,,,80,,TRUE,
The Love Affairs Of Nathaniel P,Adelle Waldman,,2015-03-05,+,,272,,,
Get In Trouble,Kelly Link,,2015-04-08,+,,352,,,
Knowledge: A Very Short Introdution,Jennifer Nagel,,2015-04-09,,,152,TRUE,,
Design as Art,Bruno Munari,,2015-04-10,,,224,TRUE,,
Monsterous Affections,Various,"Kelly Link, Gavin Grant",2015-04-30,,,480,,,
Infinite Jest,David Foster Wallace,,2015-08-15,++,,1104,,,
Ancillary Justice,Ann Leckie,,2015-08-25,,,432,,,
Ancillary Sword,Ann Leckie,,2015-09-03,,,384,,,
The Gospel According To Jesus Christ,José Saramago,,2015-10-09,,,352,,,
Moby Dick,Herman Melville,,2015-11-25,,,768,,,
Gyo,Junji Ito,,2015-11-7,,,627,,TRUE,
